ID,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LAT,LON,NUMERO_LOGRADOURO_ENTREGA
653,ESCOLA MUNICIPAL LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA,-22.99742,-43.27218,SNdeg
502,CENTRO INTEGRADO DE EDUCACAO PUBLICA PATRICE LUMUMBA,DEL CASTILHO,PRACA DA CONFEDERACAO SUICA,-22.87836,-43.27489,SNo
663,ESCOLA MUNICIPAL CIENTISTA MARIO KROEFF,PENHA,RUA DO COUTO,-22.83896,-43.27517,91
135,ESCOLA MUNICIPAL DOMINGOS BEBIANO,INHAUMA,ESTRADA ADHEMAR BEBIANO,-22.87389,-43.27771,1870
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA,-22.89203,-43.27992,109
373,ESCOLA MUNICIPAL PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS,-22.90416,-43.28033,116
161,ESCOLA MUNICIPAL JOAO DE DEUS,PENHA CIRCULAR,PRACA ALMEIDA GARRET,-22.82995,-43.28211,SNo
146,ESCOLA MUNICIPAL BERNARDO VASCONCELOS,PENHA,PRACA SANTA ROSALIA,-22.84563,-43.28401,100
440,ESCOLA MUNICIPAL JOAQUIM RIBEIRO,INHAUMA,PRACA SOLDADO COSME DOS SANTOS,-22.87757,-43.28563,28
566,ESCOLA MUNICIPAL BRANT HORTA,PENHA CIRCULAR,RUA BENTO CARDOSO,-22.83567,-43.28816,130
217,ESCOLA MUNICIPAL ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA,-22.88134,-43.29409,6742
624,ESCOLA MUNICIPAL RIO GRANDE DO SUL,ENGENHO DE DENTRO,RUA ADOLFO BERGAMINI,-22.90034,-43.29594,201
537,ESCOLA MUNICIPAL ARY QUINTELLA,PENHA CIRCULAR,RUA ENG MOREIRA LIMA,-22.83941,-43.30007,54
020,ESCOLA MUNICIPAL TAGORE,PIEDADE,PRACA FREDERICO DUVAL,-22.88766,-43.30247,SNo
388,ESCOLA MUNICIPAL CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA,-22.81527,-43.30357,98
623,ESCOLA MUNICIPAL CECILIA MEIRELES,VILA KOSMOS,RUA SD SERVINO MENGARDA,-22.84944,-43.30379,260
378,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA,-22.90627,-43.30792,SNo
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,AVENIDA BRAZ DE PINA,-22.83783,-43.31254,1614
429,ESCOLA MUNICIPAL FELIX PACHECO,PIEDADE,RUA ASSIS CARNEIRO,-22.89509,-43.31383,649
603,ESCOLA MUNICIPAL ESPIRITO SANTO,CAVALCANTI,RUA HERCULANO PENA,-22.8743,-43.31472,SN
041,ESCOLA MUNICIPAL ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO,-22.80945,-43.32629,SNo
414,ESCOLA MUNICIPAL CLAUDIO BESSERMAN VIANNA  BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA,-22.97336,-43.32916,3327
514,ESCOLA MUNICIPAL PARANA,CASCADURA,AVENIDA ERNANI CARDOSO,-22.88241,-43.33811,316
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,ESTRADA LUIZDE CAMOES,-22.84604,-43.33867,1446
492,ESCOLA MUNICIPAL MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO,-22.94266,-43.33897,43
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR,-22.81631,-43.34015,SNo
550,ESCOLA MUNICIPAL 25 DE ABRIL,FREGUESIA JPA,RUA MAMORE,-22.93816,-43.34258,78
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,-22.87608,-43.34337,401
248,ESCOLA MUNICIPAL ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA,-22.86085,-43.34455,105
031,ESCOLA MUNICIPAL PARA,ROCHA MIRANDA,AVENIDA DOS ITALIANOS,-22.85196,-43.34949,500
412,ESCOLA MUNICIPAL MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO,-22.87221,-43.35033,SNo
527,ESCOLA MUNICIPAL VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA,-22.93253,-43.35113,155
206,ESCOLA MUNICIPAL HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA,-22.89693,-43.35267,12
570,ESCOLA MUNICIPAL HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI,-22.96072,-43.35344,495
016,CENTRO INTEGRADO DE EDUCACAO PUBLICA JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,RUA EDGAR WERNECK,-22.94711,-43.35974,1565
023,ESCOLA MUNICIPAL CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS,-22.86459,-43.36595,170
