ID_ESCOLA,NOME_ESCOLA,TIPO_ESCOLA,LOGRADOURO_ENTREGA,NUMERO_LOGRADOURO_ENTREGA,BAIRRO,SUBPREFEITURA,LATITUDE,LONGITUDE,QUANTIDADE_MATERIAL
641,ESCOLA MUNICIPAL LAURO MULLER,ESCOLA MUNICIPAL,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269.0
398,ESCOLA MUNICIPAL LEONARDO DA VINCI,ESCOLA MUNICIPAL,RUA RENATO REBECCHI SNdeg,SNo,BANGU,GRANDE BANGU,-22.89253,-43.47295,315.0
175,ESCOLA MUNICIPAL NACOES UNIDAS,ESCOLA MUNICIPAL,RUA DOS LIMADORES SNdeg,SNo,BANGU,GRANDE BANGU,-22.88815,-43.47629,435.0
586,CENTRO INTEGRADO DE EDUCACAO PUBLICA ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ SNdeg,SNo,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194.0
534,ESCOLA MUNICIPAL CORA CORALINA,ESCOLA MUNICIPAL,RUA VOTORANTIM SN KM 10 MENDANHA,SNo,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157.0
262,CENTRO INTEGRADO DE EDUCACAO PUBLICA HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO SN,SNo,AUGUSTO VASCONCELOS,DESCONHECIDO,-22.88649,-43.5288,221.0
144,ESCOLA MUNICIPAL ALFREDO CESARIO ALVIM,ESCOLA MUNICIPAL,RUA RIO DA PRATA R LUISA MARILAC,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99.0
139,ESCOLA MUNICIPAL JESUS SOARES PEREIRA,ESCOLA MUNICIPAL,RUA CONSOLACAO,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316.0
399,CENTRO INTEGRADO DE EDUCACAO PUBLICA CLEMENTINA DE JESUS,CIEP,AVENIDA ALHAMBRA,SNo,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71.0
052,ESCOLA MUNICIPAL PROFESSOR PAULO SILVA,ESCOLA MUNICIPAL,RUA JAIRO CORREA,SNo,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330.0
379,CENTRO INTEGRADO DE EDUCACAO PUBLICA NELSON MANDELA,CIEP,PRACA DANIEL LAMES SN,SNo,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
616,CENTRO INTEGRADO DE EDUCACAO PUBLICA PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS SN,SNo,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372.0
342,ESCOLA MUNICIPAL FERNANDO COSTA,ESCOLA MUNICIPAL,RUA JOSE ALBANO,SNo,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296.0
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479.0
319,ESCOLA MUNICIPAL MARECHAL PEDRO CAVALCANTI,ESCOLA MUNICIPAL,RUA PORTO FIRME,SNo,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537.0
316,ESCOLA MUNICIPAL PROFESSORA FLAVIA DOS SANTOS SOARES,ESCOLA MUNICIPAL,RUA EUDALDO GOMES DA SILVA SNo CONJ URUCANIA,SNo,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579.0
297,ESCOLA MUNICIPAL PROFESSORA SILVIA DE ARAUJO TOLEDO,ESCOLA MUNICIPAL,AVENIDA CANAL 3 SNo CONJ CESARAO,SNo,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0.0
323,CENTRO INTEGRADO DE EDUCACAO PUBLICA ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO SNdeg,SNo,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106.0
068,ESCOLA MUNICIPAL WALQUIR PEREIRA,ESCOLA MUNICIPAL,ESTRADA DE SEPETIBA SN BLOCO,1,NOVA SEPETIBA,DESCONHECIDO,-22.95601,-43.68675,135.0
584,ESCOLA MUNICIPAL NELSON ROMERO,ESCOLA MUNICIPAL,RUA JOSE BALDINO,SNo,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342.0
289,ESCOLA MUNICIPAL BERTHA LUTZ,ESCOLA MUNICIPAL,ESTRADA DO PIAI,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329.0
515,CENTRO INTEGRADO DE EDUCACAO PUBLICA HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA,SNo,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341.0
474,ESCOLA MUNICIPAL ENGENHEIRO GASTAO RANGEL,ESCOLA MUNICIPAL,ESTRADA DO MAGARCA,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320.0
210,ESCOLA MUNICIPAL DEBORA MENDES DE MORAES,ESCOLA MUNICIPAL,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570.0
606,ESCOLA MUNICIPAL PROFESSOR CASTILHO,ESCOLA MUNICIPAL,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521.0
215,ESCOLA MUNICIPAL NARCISA AMALIA,ESCOLA MUNICIPAL,ESTRADA TEODORETO DE CAMARGO,SNo,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0.0
528,CENTRO INTEGRADO DE EDUCACAO PUBLICA MARGARET MEE,CIEP,RUA MINISTRO ALIOMAR BALEEIRO,SNo,RECREIO,DESCONHECIDO,-23.01981,-43.48172,51.0
202,ESCOLA MUNICIPAL PROFESSOR TEOFILO MOREIRA DA COSTA,ESCOLA MUNICIPAL,RUA ESPERANCA,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121.0
690,ESCOLA MUNICIPAL FINLANDIA,ESCOLA MUNICIPAL,RUA IGARAPEACU,SNo,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94.0
636,ESCOLA MUNICIPAL PABLO NERUDA,ESCOLA MUNICIPAL,ESTRADA DO MAPUA SNo RUA,3,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161.0
211,ESCOLA MUNICIPAL FRANCIS HIME,ESCOLA MUNICIPAL,ESTRADA PAU DA FOME,196,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520.0
568,ESCOLA MUNICIPAL VISCONDE DE PORTO SEGURO,ESCOLA MUNICIPAL,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362.0
687,ESCOLA MUNICIPAL TASSO DA SILVEIRA,ESCOLA MUNICIPAL,RUA GENERAL BERNARDINO DE MATOS,SNo,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0.0
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,ESCOLA MUNICIPAL,AVENIDA CANAL SNdeg,SNo,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235.0
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,ESCOLA MUNICIPAL,RUA MAL BIBIANO COSTALAT,483639,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
308,CENTRO INTEGRADO DE EDUCACAO PUBLICA THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO,SNo,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400.0
608,ESCOLA MUNICIPAL GRANDJEAN DE MONTIGNY,ESCOLA MUNICIPAL,PRACA DOS UCRANIANOS,SNo,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260.0
256,ESCOLA MUNICIPAL PARAIBA,ESCOLA MUNICIPAL,ESTRADA MARECHAL ALENCASTRO,4035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345.0
589,ESCOLA MUNICIPAL MARIO PIRAGIBE,ESCOLA MUNICIPAL,PRACA NOSSA SENHORA DAS DORES,SNo,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317.0
091,ESCOLA MUNICIPAL PIAUI,ESCOLA MUNICIPAL,AVENIDA BRASIL,23364,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,0.0
495,ESCOLA MUNICIPAL ENGENHEIRO LAFAYETTE DE ANDRADA,ESCOLA MUNICIPAL,AVENIDA DUQUE DE CAXIAS,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128.0
023,ESCOLA MUNICIPAL CERVANTES,ESCOLA MUNICIPAL,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342.0
206,ESCOLA MUNICIPAL HONDURAS,ESCOLA MUNICIPAL,PRACA BARAO DA TAQUARA,12,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392.0
514,ESCOLA MUNICIPAL PARANA,ESCOLA MUNICIPAL,AVENIDA ERNANI CARDOSO,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,ESCOLA MUNICIPAL,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
412,ESCOLA MUNICIPAL MOZART LAGO,ESCOLA MUNICIPAL,RUA JOSE CARVALHO SALGADO,SNo,OSWALDO CRUZ,DESCONHECIDO,-22.87221,-43.35033,0.0
248,ESCOLA MUNICIPAL ASPIRANTE CARLOS ALFREDO,ESCOLA MUNICIPAL,RUA IBIA,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513.0
031,ESCOLA MUNICIPAL PARA,ESCOLA MUNICIPAL,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115.0
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,ESCOLA MUNICIPAL,ESTRADA LUIZDE CAMOES,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152.0
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ESCOLA MUNICIPAL,AVENIDA PASTOR MARTIN LUTHER KING JR,SNo,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
041,ESCOLA MUNICIPAL ANDRADE NEVES,ESCOLA MUNICIPAL,RUA VIANA DO CASTELO,SNo,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468.0
388,ESCOLA MUNICIPAL CARDEAL CAMARA,ESCOLA MUNICIPAL,RUA ANAMA,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
673,ESCOLA MUNICIPAL GRECIA,ESCOLA MUNICIPAL,AVENIDA BRAZ DE PINA,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393.0
623,ESCOLA MUNICIPAL CECILIA MEIRELES,ESCOLA MUNICIPAL,RUA SD SERVINO MENGARDA,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416.0
537,ESCOLA MUNICIPAL ARY QUINTELLA,ESCOLA MUNICIPAL,RUA ENG MOREIRA LIMA,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234.0
161,ESCOLA MUNICIPAL JOAO DE DEUS,ESCOLA MUNICIPAL,PRACA ALMEIDA GARRET,SNo,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509.0
566,ESCOLA MUNICIPAL BRANT HORTA,ESCOLA MUNICIPAL,RUA BENTO CARDOSO,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564.0
146,ESCOLA MUNICIPAL BERNARDO VASCONCELOS,ESCOLA MUNICIPAL,PRACA SANTA ROSALIA,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151.0
663,ESCOLA MUNICIPAL CIENTISTA MARIO KROEFF,ESCOLA MUNICIPAL,RUA DO COUTO,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426.0
230,ESCOLA MUNICIPAL BERLIM,ESCOLA MUNICIPAL,PRACA RAMOS FIGUEIRA,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24.0
